 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> November 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Zr- O

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  5.6800E+00 g/cm3 = 8.3284E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    033.33    074.03   
      O      8    066.67    025.97   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   7.128E+00  4.353E+00    1.22 um     1992 A      1739 A   
  10.00 MeV   7.300E+00  4.106E+00    1.37 um     2163 A      1914 A   
  11.00 MeV   7.485E+00  3.890E+00    1.52 um     2328 A      2087 A   
  12.00 MeV   7.689E+00  3.698E+00    1.66 um     2486 A      2258 A   
  13.00 MeV   7.915E+00  3.528E+00    1.81 um     2637 A      2426 A   
  14.00 MeV   8.165E+00  3.374E+00    1.96 um     2782 A      2591 A   
  15.00 MeV   8.441E+00  3.236E+00    2.10 um     2920 A      2752 A   
  16.00 MeV   8.741E+00  3.110E+00    2.25 um     3050 A      2910 A   
  17.00 MeV   9.065E+00  2.994E+00    2.39 um     3174 A      3063 A   
  18.00 MeV   9.413E+00  2.889E+00    2.53 um     3290 A      3211 A   
  20.00 MeV   1.017E+01  2.701E+00    2.80 um     3513 A      3494 A   
  22.50 MeV   1.123E+01  2.502E+00    3.12 um     3758 A      3818 A   
  25.00 MeV   1.238E+01  2.334E+00    3.42 um     3965 A      4110 A   
  27.50 MeV   1.361E+01  2.189E+00    3.70 um     4141 A      4372 A   
  30.00 MeV   1.488E+01  2.064E+00    3.96 um     4291 A      4606 A   
  32.50 MeV   1.618E+01  1.954E+00    4.21 um     4419 A      4816 A   
  35.00 MeV   1.750E+01  1.856E+00    4.43 um     4529 A      5004 A   
  37.50 MeV   1.882E+01  1.769E+00    4.65 um     4625 A      5173 A   
  40.00 MeV   2.013E+01  1.691E+00    4.85 um     4709 A      5326 A   
  45.00 MeV   2.269E+01  1.555E+00    5.23 um     4862 A      5590 A   
  50.00 MeV   2.514E+01  1.442E+00    5.57 um     4984 A      5811 A   
  55.00 MeV   2.745E+01  1.345E+00    5.88 um     5084 A      5998 A   
  60.00 MeV   2.962E+01  1.263E+00    6.17 um     5168 A      6159 A   
  65.00 MeV   3.163E+01  1.190E+00    6.45 um     5239 A      6300 A   
  70.00 MeV   3.350E+01  1.127E+00    6.71 um     5301 A      6424 A   
  80.00 MeV   3.684E+01  1.020E+00    7.19 um     5425 A      6636 A   
  90.00 MeV   3.971E+01  9.328E-01    7.63 um     5525 A      6810 A   
 100.00 MeV   4.218E+01  8.609E-01    8.05 um     5609 A      6958 A   
 110.00 MeV   4.432E+01  8.002E-01    8.45 um     5682 A      7086 A   
 120.00 MeV   4.620E+01  7.483E-01    8.83 um     5746 A      7199 A   
 130.00 MeV   4.784E+01  7.032E-01    9.19 um     5804 A      7300 A   
 140.00 MeV   4.931E+01  6.638E-01    9.55 um     5856 A      7391 A   
 150.00 MeV   5.061E+01  6.289E-01    9.89 um     5904 A      7475 A   
 160.00 MeV   5.180E+01  5.978E-01   10.23 um     5948 A      7551 A   
 170.00 MeV   5.287E+01  5.699E-01   10.56 um     5990 A      7623 A   
 180.00 MeV   5.385E+01  5.447E-01   10.89 um     6029 A      7689 A   
 200.00 MeV   5.560E+01  5.009E-01   11.53 um     6133 A      7810 A   
 225.00 MeV   5.748E+01  4.559E-01   12.30 um     6270 A      7943 A   
 250.00 MeV   5.909E+01  4.189E-01   13.04 um     6394 A      8060 A   
 275.00 MeV   6.052E+01  3.879E-01   13.77 um     6508 A      8167 A   
 300.00 MeV   6.179E+01  3.615E-01   14.49 um     6613 A      8263 A   
 325.00 MeV   6.294E+01  3.387E-01   15.19 um     6713 A      8352 A   
 350.00 MeV   6.399E+01  3.188E-01   15.88 um     6806 A      8435 A   
 375.00 MeV   6.495E+01  3.013E-01   16.55 um     6895 A      8512 A   
 400.00 MeV   6.590E+01  2.858E-01   17.22 um     6979 A      8585 A   
 450.00 MeV   6.746E+01  2.594E-01   18.54 um     7257 A      8718 A   
 500.00 MeV   6.827E+01  2.377E-01   19.83 um     7514 A      8839 A   
 550.00 MeV   6.899E+01  2.196E-01   21.10 um     7756 A      8952 A   
 600.00 MeV   6.957E+01  2.043E-01   22.37 um     7985 A      9057 A   
 650.00 MeV   7.004E+01  1.911E-01   23.63 um     8204 A      9156 A   
 700.00 MeV   7.042E+01  1.796E-01   24.88 um     8414 A      9250 A   
 800.00 MeV   7.098E+01  1.605E-01   27.36 um     9154 A      9426 A   
 900.00 MeV   7.134E+01  1.453E-01   29.83 um     9829 A      9590 A   
 946.00 MeV   7.144E+01  1.394E-01   30.96 um     9973 A      9662 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  5.6798E+01                 eV / Angstrom 
  5.6798E+02                keV / micron   
  5.6798E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8198E+01                 eV / (1E15 atoms/cm2)
  3.3322E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
