 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> November 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Zr- O

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  3.1140E+00 g/cm3 = 4.5660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    033.33    074.03   
      O      8    066.67    025.97   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  50.00 keV   6.594E-01  7.282E+00     273 A        95 A        72 A   
  55.00 keV   6.916E-01  7.473E+00     289 A       100 A        75 A   
  60.00 keV   7.223E-01  7.645E+00     305 A       104 A        79 A   
  65.00 keV   7.518E-01  7.802E+00     321 A       109 A        83 A   
  70.00 keV   7.802E-01  7.945E+00     336 A       113 A        86 A   
  80.00 keV   8.341E-01  8.198E+00     366 A       122 A        93 A   
  90.00 keV   8.847E-01  8.415E+00     395 A       130 A        99 A   
 100.00 keV   9.325E-01  8.602E+00     423 A       138 A       106 A   
 110.00 keV   9.781E-01  8.766E+00     451 A       146 A       112 A   
 120.00 keV   1.022E+00  8.910E+00     478 A       153 A       118 A   
 130.00 keV   1.063E+00  9.038E+00     505 A       160 A       124 A   
 140.00 keV   1.103E+00  9.152E+00     532 A       167 A       129 A   
 150.00 keV   1.142E+00  9.254E+00     558 A       175 A       135 A   
 160.00 keV   1.180E+00  9.345E+00     584 A       181 A       140 A   
 170.00 keV   1.216E+00  9.427E+00     609 A       188 A       146 A   
 180.00 keV   1.251E+00  9.501E+00     635 A       195 A       151 A   
 200.00 keV   1.319E+00  9.628E+00     685 A       208 A       162 A   
 225.00 keV   1.399E+00  9.755E+00     747 A       224 A       174 A   
 250.00 keV   1.475E+00  9.855E+00     808 A       240 A       187 A   
 275.00 keV   1.546E+00  9.932E+00     868 A       255 A       199 A   
 300.00 keV   1.615E+00  9.992E+00     928 A       271 A       211 A   
 325.00 keV   1.681E+00  1.004E+01     987 A       286 A       222 A   
 350.00 keV   1.745E+00  1.007E+01    1046 A       300 A       234 A   
 375.00 keV   1.806E+00  1.009E+01    1105 A       315 A       245 A   
 400.00 keV   1.879E+00  1.011E+01    1163 A       329 A       256 A   
 450.00 keV   2.076E+00  1.012E+01    1278 A       357 A       278 A   
 500.00 keV   2.234E+00  1.011E+01    1392 A       385 A       299 A   
 550.00 keV   2.368E+00  1.008E+01    1506 A       412 A       320 A   
 600.00 keV   2.486E+00  1.005E+01    1618 A       438 A       341 A   
 650.00 keV   2.593E+00  1.000E+01    1731 A       464 A       361 A   
 700.00 keV   2.691E+00  9.947E+00    1843 A       490 A       381 A   
 800.00 keV   2.870E+00  9.827E+00    2067 A       541 A       420 A   
 900.00 keV   3.033E+00  9.695E+00    2291 A       591 A       459 A   
   1.00 MeV   3.187E+00  9.557E+00    2516 A       641 A       497 A   
   1.10 MeV   3.333E+00  9.417E+00    2741 A       689 A       535 A   
   1.20 MeV   3.474E+00  9.275E+00    2967 A       738 A       572 A   
   1.30 MeV   3.610E+00  9.135E+00    3193 A       785 A       608 A   
   1.40 MeV   3.741E+00  8.997E+00    3420 A       832 A       645 A   
   1.50 MeV   3.868E+00  8.862E+00    3647 A       878 A       681 A   
   1.60 MeV   3.991E+00  8.729E+00    3876 A       924 A       717 A   
   1.70 MeV   4.110E+00  8.600E+00    4104 A       969 A       753 A   
   1.80 MeV   4.225E+00  8.474E+00    4334 A      1014 A       788 A   
   2.00 MeV   4.443E+00  8.233E+00    4794 A      1103 A       859 A   
   2.25 MeV   4.694E+00  7.950E+00    5373 A      1211 A       947 A   
   2.50 MeV   4.922E+00  7.688E+00    5956 A      1318 A      1033 A   
   2.75 MeV   5.128E+00  7.444E+00    6542 A      1421 A      1120 A   
   3.00 MeV   5.315E+00  7.217E+00    7131 A      1523 A      1205 A   
   3.25 MeV   5.483E+00  7.006E+00    7724 A      1622 A      1290 A   
   3.50 MeV   5.636E+00  6.808E+00    8320 A      1720 A      1375 A   
   3.75 MeV   5.773E+00  6.623E+00    8919 A      1816 A      1459 A   
   4.00 MeV   5.898E+00  6.450E+00    9522 A      1910 A      1542 A   
   4.50 MeV   6.113E+00  6.133E+00    1.07 um     2098 A      1709 A   
   5.00 MeV   6.291E+00  5.851E+00    1.20 um     2281 A      1874 A   
   5.50 MeV   6.440E+00  5.598E+00    1.32 um     2459 A      2039 A   
   6.00 MeV   6.568E+00  5.369E+00    1.45 um     2634 A      2202 A   
   6.50 MeV   6.680E+00  5.161E+00    1.57 um     2805 A      2365 A   
   7.00 MeV   6.780E+00  4.972E+00    1.70 um     2973 A      2528 A   
   8.00 MeV   6.959E+00  4.638E+00    1.96 um     3309 A      2851 A   
   9.00 MeV   7.128E+00  4.353E+00    2.23 um     3633 A      3172 A   
  10.00 MeV   7.300E+00  4.106E+00    2.49 um     3945 A      3491 A   
  11.00 MeV   7.485E+00  3.890E+00    2.76 um     4245 A      3806 A   
  12.00 MeV   7.689E+00  3.698E+00    3.03 um     4534 A      4118 A   
  13.00 MeV   7.915E+00  3.528E+00    3.30 um     4811 A      4424 A   
  14.00 MeV   8.165E+00  3.374E+00    3.57 um     5074 A      4726 A   
  15.00 MeV   8.441E+00  3.236E+00    3.84 um     5326 A      5020 A   
  16.00 MeV   8.741E+00  3.110E+00    4.10 um     5564 A      5307 A   
  17.00 MeV   9.065E+00  2.994E+00    4.36 um     5789 A      5587 A   
  18.00 MeV   9.413E+00  2.889E+00    4.61 um     6002 A      5858 A   
  20.00 MeV   1.017E+01  2.701E+00    5.10 um     6407 A      6372 A   
  22.50 MeV   1.123E+01  2.502E+00    5.69 um     6854 A      6963 A   
  25.00 MeV   1.238E+01  2.334E+00    6.23 um     7233 A      7496 A   
  27.50 MeV   1.361E+01  2.189E+00    6.75 um     7554 A      7974 A   
  30.00 MeV   1.488E+01  2.064E+00    7.22 um     7827 A      8402 A   
  32.50 MeV   1.618E+01  1.954E+00    7.67 um     8060 A      8784 A   
  35.00 MeV   1.750E+01  1.856E+00    8.09 um     8262 A      9128 A   
  37.50 MeV   1.882E+01  1.769E+00    8.48 um     8437 A      9436 A   
  40.00 MeV   2.013E+01  1.691E+00    8.85 um     8589 A      9715 A   
  45.00 MeV   2.269E+01  1.555E+00    9.54 um     8869 A      1.02 um  
  50.00 MeV   2.514E+01  1.442E+00   10.16 um     9091 A      1.06 um  
  55.00 MeV   2.745E+01  1.345E+00   10.73 um     9274 A      1.09 um  
  60.00 MeV   2.962E+01  1.263E+00   11.26 um     9426 A      1.12 um  
  65.00 MeV   3.163E+01  1.190E+00   11.76 um     9556 A      1.15 um  
  70.00 MeV   3.350E+01  1.127E+00   12.23 um     9669 A      1.17 um  
  80.00 MeV   3.684E+01  1.020E+00   13.11 um     9895 A      1.21 um  
  90.00 MeV   3.971E+01  9.328E-01   13.92 um     1.01 um     1.24 um  
 100.00 MeV   4.218E+01  8.609E-01   14.68 um     1.02 um     1.27 um  
 110.00 MeV   4.432E+01  8.002E-01   15.41 um     1.04 um     1.29 um  
 120.00 MeV   4.620E+01  7.483E-01   16.10 um     1.05 um     1.31 um  
 130.00 MeV   4.784E+01  7.032E-01   16.77 um     1.06 um     1.33 um  
 140.00 MeV   4.931E+01  6.638E-01   17.42 um     1.07 um     1.35 um  
 150.00 MeV   5.061E+01  6.289E-01   18.05 um     1.08 um     1.36 um  
 160.00 MeV   5.180E+01  5.978E-01   18.67 um     1.09 um     1.38 um  
 170.00 MeV   5.287E+01  5.699E-01   19.27 um     1.09 um     1.39 um  
 180.00 MeV   5.385E+01  5.447E-01   19.86 um     1.10 um     1.40 um  
 200.00 MeV   5.560E+01  5.009E-01   21.02 um     1.12 um     1.42 um  
 225.00 MeV   5.748E+01  4.559E-01   22.43 um     1.14 um     1.45 um  
 250.00 MeV   5.909E+01  4.189E-01   23.79 um     1.17 um     1.47 um  
 275.00 MeV   6.052E+01  3.879E-01   25.12 um     1.19 um     1.49 um  
 300.00 MeV   6.179E+01  3.615E-01   26.42 um     1.21 um     1.51 um  
 325.00 MeV   6.294E+01  3.387E-01   27.70 um     1.22 um     1.52 um  
 350.00 MeV   6.399E+01  3.188E-01   28.96 um     1.24 um     1.54 um  
 375.00 MeV   6.495E+01  3.013E-01   30.20 um     1.26 um     1.55 um  
 400.00 MeV   6.590E+01  2.858E-01   31.41 um     1.27 um     1.57 um  
 450.00 MeV   6.746E+01  2.594E-01   33.81 um     1.32 um     1.59 um  
 500.00 MeV   6.827E+01  2.377E-01   36.16 um     1.37 um     1.61 um  
 550.00 MeV   6.899E+01  2.196E-01   38.49 um     1.41 um     1.63 um  
 600.00 MeV   6.957E+01  2.043E-01   40.80 um     1.46 um     1.65 um  
 650.00 MeV   7.004E+01  1.911E-01   43.09 um     1.50 um     1.67 um  
 700.00 MeV   7.042E+01  1.796E-01   45.37 um     1.53 um     1.69 um  
 800.00 MeV   7.098E+01  1.605E-01   49.90 um     1.67 um     1.72 um  
 900.00 MeV   7.134E+01  1.453E-01   54.40 um     1.79 um     1.75 um  
 946.00 MeV   7.144E+01  1.394E-01   56.47 um     1.82 um     1.76 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.1139E+01                 eV / Angstrom 
  3.1139E+02                keV / micron   
  3.1139E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8198E+01                 eV / (1E15 atoms/cm2)
  3.3322E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
