 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> November 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Zr- O

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  3.1140E+00 g/cm3 = 4.5660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    033.33    074.03   
      O      8    066.67    025.97   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.949E-01  4.158E+00     113 A        45 A        33 A   
  11.00 keV   3.093E-01  4.324E+00     119 A        46 A        34 A   
  12.00 keV   3.230E-01  4.479E+00     124 A        48 A        35 A   
  13.00 keV   3.362E-01  4.624E+00     129 A        50 A        37 A   
  14.00 keV   3.489E-01  4.760E+00     134 A        52 A        38 A   
  15.00 keV   3.612E-01  4.888E+00     139 A        53 A        39 A   
  16.00 keV   3.730E-01  5.010E+00     144 A        55 A        40 A   
  17.00 keV   3.845E-01  5.125E+00     148 A        56 A        42 A   
  18.00 keV   3.956E-01  5.235E+00     153 A        58 A        43 A   
  20.00 keV   4.170E-01  5.439E+00     162 A        61 A        45 A   
  22.50 keV   4.423E-01  5.671E+00     172 A        64 A        48 A   
  25.00 keV   4.663E-01  5.880E+00     183 A        68 A        50 A   
  27.50 keV   4.890E-01  6.072E+00     193 A        71 A        52 A   
  30.00 keV   5.108E-01  6.247E+00     202 A        74 A        55 A   
  32.50 keV   5.316E-01  6.409E+00     212 A        77 A        57 A   
  35.00 keV   5.517E-01  6.560E+00     221 A        79 A        59 A   
  37.50 keV   5.711E-01  6.700E+00     230 A        82 A        61 A   
  40.00 keV   5.898E-01  6.831E+00     239 A        85 A        64 A   
  45.00 keV   6.256E-01  7.070E+00     256 A        90 A        68 A   
