# Depth (um), Electronic Energy Loss (keV/nm), Nuclear Energy Loss (keV/nm), Total Energy Loss (keV/nm), Normalized Electronic Energy Loss (keV/nm), Normalized Nuclear Energy Loss (keV/nm), Normalized Total Energy Loss (keV/nm)
0.000000000000000000e+00 2.224570159999999674e+01 4.340776599999999347e-02 2.228910936599999815e+01 2.224570159999999674e+01 4.340776599999999347e-02 2.228910936599999815e+01
2.070000000000000284e+00 2.221456260000000071e+01 4.524496700000000399e-02 2.225980756699999930e+01 2.221456260000000071e+01 4.524496700000000399e-02 2.225980756699999930e+01
6.570000000000000284e+00 2.210246220000000150e+01 4.997809499999999322e-02 2.215244029500000167e+01 2.210246220000000150e+01 4.997809499999999322e-02 2.215244029500000167e+01
1.110000000000000142e+01 2.192808379999999957e+01 5.592564399999999658e-02 2.198400944399999801e+01 2.192808379999999957e+01 5.592564399999999658e-02 2.198400944399999801e+01
1.337999999999999545e+01 2.180975559999999902e+01 5.950662899999999839e-02 2.186926222900000027e+01 2.180975559999999902e+01 5.950662899999999839e-02 2.186926222900000027e+01
1.567000000000000171e+01 2.166340229999999778e+01 6.361697700000000510e-02 2.172701927699999658e+01 2.166340229999999778e+01 6.361697700000000510e-02 2.172701927699999658e+01
1.797999999999999687e+01 2.148279609999999451e+01 6.838124399999999381e-02 2.155117734399999563e+01 2.148279609999999451e+01 6.838124399999999381e-02 2.155117734399999563e+01
2.031000000000000227e+01 2.125859529999999609e+01 7.401740299999999551e-02 2.133261270299999524e+01 2.125859529999999609e+01 7.401740299999999551e-02 2.133261270299999524e+01
2.265999999999999659e+01 2.100636939999999697e+01 8.077456600000000597e-02 2.108714396599999574e+01 2.100636939999999697e+01 8.077456600000000597e-02 2.108714396599999574e+01
2.505999999999999872e+01 2.052060100000000276e+01 8.899526199999999165e-02 2.060959626200000372e+01 2.052060100000000276e+01 8.899526199999999165e-02 2.060959626200000372e+01
2.626999999999999957e+01 2.022478050000000138e+01 9.382180699999999318e-02 2.031860230700000258e+01 2.022478050000000138e+01 9.382180699999999318e-02 2.031860230700000258e+01
2.750999999999999801e+01 1.992584609999999756e+01 9.927113199999998416e-02 2.002511723199999594e+01 1.992584609999999756e+01 9.927113199999998416e-02 2.002511723199999594e+01
2.876999999999999957e+01 1.959888659999999660e+01 1.054677930000000041e-01 1.970435439299999558e+01 1.959888659999999660e+01 1.054677930000000041e-01 1.970435439299999558e+01
3.004999999999999716e+01 1.924078809999999962e+01 1.125674849999999949e-01 1.935335558499999919e+01 1.924078809999999962e+01 1.125674849999999949e-01 1.935335558499999919e+01
3.134999999999999787e+01 1.884532280000000171e+01 1.207881810000000083e-01 1.896611098100000348e+01 1.884532280000000171e+01 1.207881810000000083e-01 1.896611098100000348e+01
3.267999999999999972e+01 1.840003510000000020e+01 1.304412709999999975e-01 1.853047637099999889e+01 1.840003510000000020e+01 1.304412709999999975e-01 1.853047637099999889e+01
3.403999999999999915e+01 1.789869719999999731e+01 1.419627009999999967e-01 1.804065990099999794e+01 1.789869719999999731e+01 1.419627009999999967e-01 1.804065990099999794e+01
3.545000000000000284e+01 1.731328399999999945e+01 1.559752509999999814e-01 1.746925925100000043e+01 1.731328399999999945e+01 1.559752509999999814e-01 1.746925925100000043e+01
3.660999999999999943e+01 1.676835150000000141e+01 1.696141329999999725e-01 1.693796563300000102e+01 1.676835150000000141e+01 1.696141329999999725e-01 1.693796563300000102e+01
3.720000000000000284e+01 1.646318929999999980e+01 1.774611609999999784e-01 1.664065046099999989e+01 1.646318929999999980e+01 1.774611609999999784e-01 1.664065046099999989e+01
3.779999999999999716e+01 1.613000199999999751e+01 1.861489420000000117e-01 1.631615094199999660e+01 1.613000199999999751e+01 1.861489420000000117e-01 1.631615094199999660e+01
3.842000000000000171e+01 1.575944789999999962e+01 1.958331710000000003e-01 1.595528107099999993e+01 1.575944789999999962e+01 1.958331710000000003e-01 1.595528107099999993e+01
3.904999999999999716e+01 1.535464089999999970e+01 2.067006819999999689e-01 1.556134158199999895e+01 1.535464089999999970e+01 2.067006819999999689e-01 1.556134158199999895e+01
3.970000000000000284e+01 1.489689760000000085e+01 2.189694480000000110e-01 1.511586704800000014e+01 1.489689760000000085e+01 2.189694480000000110e-01 1.511586704800000014e+01
4.036999999999999744e+01 1.438621800000000128e+01 2.330131369999999813e-01 1.461923113700000165e+01 1.438621800000000128e+01 2.330131369999999813e-01 1.461923113700000165e+01
4.106000000000000227e+01 1.380080479999999987e+01 2.491742779999999990e-01 1.404997907799999979e+01 1.380080479999999987e+01 2.491742779999999990e-01 1.404997907799999979e+01
4.178999999999999915e+01 1.313443019999999883e+01 2.680756509999999704e-01 1.340250585099999903e+01 1.313443019999999883e+01 2.680756509999999704e-01 1.340250585099999903e+01
4.254999999999999716e+01 1.236529689999999881e+01 2.904645919999999659e-01 1.265576149199999811e+01 1.236529689999999881e+01 2.904645919999999659e-01 1.265576149199999811e+01
4.335999999999999943e+01 1.147160760000000046e+01 3.176178000000000057e-01 1.178922540000000119e+01 1.147160760000000046e+01 3.176178000000000057e-01 1.178922540000000119e+01
4.423999999999999488e+01 1.043156499999999909e+01 3.509365300000000243e-01 1.078250152999999933e+01 1.043156499999999909e+01 3.509365300000000243e-01 1.078250152999999933e+01
4.471000000000000085e+01 9.849265700000000123e+00 3.705540999999999419e-01 1.021981979999999979e+01 9.849265700000000123e+00 3.705540999999999419e-01 1.021981979999999979e+01
